city,area,danChiName,nearestStationByWalk,bestCaseByWalk,worstCaseByWalk,nearestStationByBus,bestCaseByBus,worstCaseByBus,traffic,address,buildingName,room,roomType,floorSpace,floor,maxFloor,rent,commonFee,total,shikikin,systems,link,availableDate
tokyo,kitasenju,花畑,東武伊勢崎線「谷塚」駅,17,24,,,,東武伊勢崎線「竹ノ塚」駅バス9～15分 徒歩2～8分<br>東武伊勢崎線「谷塚」駅 徒歩17～24分,足立区花畑5,60号棟,508号室,2DK,43,5,5,65100,3700,68800,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1170_room.html?JKSS=000060508,随時
tokyo,kitasenju,竹の塚第二,東武伊勢崎線「竹ノ塚」駅,6,12,,,,東武伊勢崎線「竹ノ塚」駅 徒歩6～12分,足立区竹の塚1-5ほか,18号棟,401号室,2DK,41,4,4,70700,4100,74800,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1310_room.html?JKSS=000018401,随時
tokyo,kitasenju,竹の塚第二,東武伊勢崎線「竹ノ塚」駅,6,12,,,,東武伊勢崎線「竹ノ塚」駅 徒歩6～12分,足立区竹の塚1-5ほか,7号棟,301号室,2DK,41,3,4,76700,4100,80800,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1310_room.html?JKSS=000007301,随時
tokyo,kitasenju,竹の塚第二,東武伊勢崎線「竹ノ塚」駅,6,12,,,,東武伊勢崎線「竹ノ塚」駅 徒歩6～12分,足立区竹の塚1-5ほか,23号棟,108号室,3DK,50,1,4,84900,4100,89000,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1310_room.html?JKSS=000023108,随時
tokyo,kitasenju,栗原,東武伊勢崎線「西新井」駅,8,13,,,,東武伊勢崎線「西新井」駅 徒歩8～13分,足立区栗原2-5ほか,5号棟,204号室,1LDK,40,2,5,77700,4270,81970,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1600_room.html?JKSS=000005204,随時
tokyo,kitasenju,栗原,東武伊勢崎線「西新井」駅,8,13,,,,東武伊勢崎線「西新井」駅 徒歩8～13分,足立区栗原2-5ほか,14号棟,502号室,3DK,51,5,5,83800,4270,88070,2か月,['近居割'],https://www.ur-net.go.jp/chintai/kanto/tokyo/20_1600_room.html?JKSS=000014502,随時
tokyo,kitasenju,大谷田一丁目,JR常盤線「亀有」駅,18,23,,,,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分,足立区大谷田1-1,1号棟,1313号室,1LDK,48,13,14,79000,3700,82700,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000011313,随時
tokyo,kitasenju,大谷田一丁目,JR常磐線「亀有」駅,2,4,JR常磐線「亀有」駅,3,,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分,足立区大谷田1-1,1号棟,1313号室,1LDK,48,13,14,79000,3700,82700,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000011313,随時
tokyo,kitasenju,大谷田一丁目,東京メトロ千代田線「北綾瀬」駅,16,19,,,,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分,足立区大谷田1-1,1号棟,1313号室,1LDK,48,13,14,79000,3700,82700,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000011313,随時
tokyo,kitasenju,大谷田一丁目,JR常盤線「亀有」駅,18,23,,,,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分,足立区大谷田1-1,9号棟,1005号室,2DK,48,10,14,79500,3700,83200,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000091005,随時
tokyo,kitasenju,大谷田一丁目,JR常磐線「亀有」駅,2,4,JR常磐線「亀有」駅,3,,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分,足立区大谷田1-1,9号棟,1005号室,2DK,48,10,14,79500,3700,83200,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000091005,随時
tokyo,kitasenju,大谷田一丁目,東京メトロ千代田線「北綾瀬」駅,16,19,,,,JR常盤線「亀有」駅 徒歩18～23分<br>JR常磐線「亀有」駅バス3分 徒歩2～4分<br>東京メトロ千代田線「北綾瀬」駅 徒歩16～19分,足立区大谷田1-1,9号棟,1005号室,2DK,48,10,14,79500,3700,83200,2か月,"['近居割', '近居割WIDE']",https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2810_room.html?JKSS=000091005,随時
